date,product_id,sales
2023-01-01,P01,18
2023-01-02,P01,33
2023-01-03,P01,40
2023-01-04,P01,46
2023-01-05,P01,33
2023-01-06,P01,24
2023-01-07,P01,19
2023-01-08,P01,19
2023-01-09,P01,18
2023-01-10,P01,44
2023-01-11,P01,45
2023-01-12,P01,28
2023-01-13,P01,25
2023-01-14,P01,18
2023-01-15,P01,20
2023-01-16,P01,21
2023-01-17,P01,36
2023-01-18,P01,44
2023-01-19,P01,48
2023-01-20,P01,29
2023-01-21,P01,22
2023-01-22,P01,21
2023-01-23,P01,28
2023-01-24,P01,44
2023-01-25,P01,42
2023-01-26,P01,32
2023-01-27,P01,22
2023-01-28,P01,21
2023-01-29,P01,21
2023-01-30,P01,31
2023-01-31,P01,38
2023-02-01,P01,43
2023-02-02,P01,29
2023-02-03,P01,32
2023-02-04,P01,35
2023-02-05,P01,29
2023-02-06,P01,32
2023-02-07,P01,43
2023-02-08,P01,36
2023-02-09,P01,28
2023-02-10,P01,31
2023-02-11,P01,19
2023-02-12,P01,17
2023-02-13,P01,27
2023-02-14,P01,33
2023-02-15,P01,42
2023-02-16,P01,38
2023-02-17,P01,31
2023-02-18,P01,26
2023-02-19,P01,27
2023-02-20,P01,30
2023-02-21,P01,36
2023-02-22,P01,33
2023-02-23,P01,41
2023-02-24,P01,26
2023-02-25,P01,19
2023-02-26,P01,29
2023-02-27,P01,27
2023-02-28,P01,43
2023-03-01,P01,42
2023-03-02,P01,30
2023-03-03,P01,27
2023-03-04,P01,26
2023-03-05,P01,27
2023-03-06,P01,39
2023-03-07,P01,41
2023-03-08,P01,58
2023-03-09,P01,31
2023-03-10,P01,25
2023-03-11,P01,21
2023-03-12,P01,16
2023-03-13,P01,36
2023-03-14,P01,44
2023-03-15,P01,41
2023-03-16,P01,33
2023-03-17,P01,19
2023-03-18,P01,18
2023-03-19,P01,27
2023-03-20,P01,30
2023-03-21,P01,37
2023-03-22,P01,43
2023-03-23,P01,41
2023-03-24,P01,28
2023-03-25,P01,23
2023-03-26,P01,30
2023-03-27,P01,32
2023-03-28,P01,38
2023-03-29,P01,44
2023-03-30,P01,34
2023-03-31,P01,25
2023-04-01,P01,28
2023-04-02,P01,22
2023-04-03,P01,18
2023-04-04,P01,41
2023-04-05,P01,39
2023-04-06,P01,34
2023-04-07,P01,29
2023-04-08,P01,21
2023-04-09,P01,24
2023-04-10,P01,21
2023-04-11,P01,34
2023-04-12,P01,48
2023-04-13,P01,35
2023-04-14,P01,19
2023-04-15,P01,16
2023-04-16,P01,18
2023-04-17,P01,32
2023-04-18,P01,37
2023-04-19,P01,38
2023-04-20,P01,36
2023-04-21,P01,29
2023-04-22,P01,20
2023-04-23,P01,21
2023-04-24,P01,29
2023-04-25,P01,41
2023-04-26,P01,41
2023-04-27,P01,39
2023-04-28,P01,21
2023-04-29,P01,18
2023-04-30,P01,27
2023-05-01,P01,27
2023-05-02,P01,46
2023-05-03,P01,48
2023-05-04,P01,43
2023-05-05,P01,22
2023-05-06,P01,22
2023-05-07,P01,21
2023-05-08,P01,36
2023-05-09,P01,48
2023-05-10,P01,45
2023-05-11,P01,36
2023-05-12,P01,25
2023-05-13,P01,25
2023-05-14,P01,17
2023-05-15,P01,34
2023-05-16,P01,34
2023-05-17,P01,44
2023-05-18,P01,35
2023-05-19,P01,25
2023-05-20,P01,17
2023-05-21,P01,22
2023-05-22,P01,34
2023-05-23,P01,44
2023-05-24,P01,44
2023-05-25,P01,42
2023-05-26,P01,40
2023-05-27,P01,20
2023-05-28,P01,22
2023-05-29,P01,24
2023-05-30,P01,45
2023-05-31,P01,47
2023-06-01,P01,31
2023-06-02,P01,30
2023-06-03,P01,28
2023-06-04,P01,25
2023-06-05,P01,35
2023-06-06,P01,40
2023-06-07,P01,35
2023-06-08,P01,41
2023-06-09,P01,34
2023-06-10,P01,25
2023-06-11,P01,19
2023-06-12,P01,27
2023-06-13,P01,33
